,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
290,0,,2,,,10,,,0,14,8,Celtic,3,2011-10-14,3,,3,,,14,,,0,11,7,Kilmarnock,3,,,
291,0,,9,,,8,,,0,12,6,St Mirren,2,2011-10-14,0,,8,,,9,,,0,19,13,Rangers,0,,,
292,0,,6,,,11,,,0,4,1,Inverness C,1,2011-10-14,1,,5,,,11,,,0,11,5,St Johnstone,2,,,
293,0,,3,,,8,,,0,1,0,St Johnstone,2,2011-10-21,0,,1,,,12,,,0,9,4,Dundee United,2,,,
294,0,,6,,,7,,,0,8,2,Dunfermline,0,2011-10-21,1,,6,,,11,,,0,10,5,Inverness C,2,,,
295,0,,5,,,15,,,0,14,7,Kilmarnock,1,2011-10-21,0,,12,,,12,,,0,9,5,Motherwell,3,,,
296,3,,3,,,17,,,0,7,5,Hibernian,1,2011-10-21,2,,6,,,5,,,0,16,8,St Mirren,1,,,
297,0,,4,,,17,,,1,2,1,Aberdeen,5,2011-10-22,1,,7,,,4,,,0,15,7,Celtic,0,,,
298,1,,3,,,14,,,0,7,4,Rangers,2,2011-10-22,0,,6,,,12,,,0,16,12,Hearts,4,,,
299,0,,9,,,6,,,0,13,4,St Mirren,1,2011-10-28,0,,6,,,10,,,0,9,3,St Johnstone,1,,,
300,1,,4,,,10,,,0,5,3,Motherwell,2,2011-10-28,1,,6,,,11,,,1,12,7,Inverness C,1,,,
301,0,,5,,,14,,,0,8,3,Kilmarnock,2,2011-10-28,0,,12,,,10,,,1,19,6,Hearts,4,,,
302,0,,2,,,13,,,0,9,5,Rangers,2,2011-10-28,0,,1,,,16,,,1,7,5,Aberdeen,4,,,
303,0,,3,,,14,,,0,9,4,Hibernian,1,2011-10-28,0,,0,,,8,,,0,8,4,Celtic,0,,,
304,2,,8,,,2,,,0,15,9,Dundee United,1,2011-10-28,0,,6,,,7,,,1,6,3,Dunfermline,2,,,
305,0,,5,,,8,,,0,12,5,Hearts,0,2011-11-04,0,,13,,,7,,,0,12,6,St Mirren,0,,,
306,1,,5,,,11,,,0,3,2,Dunfermline,2,2011-11-04,0,,8,,,14,,,0,7,4,Hibernian,1,,,
307,1,,6,,,10,,,0,13,10,Inverness C,2,2011-11-04,1,,3,,,12,,,0,4,3,Kilmarnock,2,,,
308,0,,2,,,8,,,0,5,2,Dundee United,1,2011-11-04,1,,3,,,5,,,1,8,5,Rangers,2,,,
309,1,,2,,,8,,,0,5,4,Celtic,1,2011-11-05,1,,11,,,20,,,1,4,3,Motherwell,2,,,
310,0,,4,,,16,,,0,7,3,Dunfermline,1,2011-11-18,2,,8,,,11,,,0,16,8,St Mirren,1,,,
311,1,,3,,,10,,,0,16,10,Kilmarnock,1,2011-11-18,0,,0,,,16,,,0,7,5,Hibernian,3,,,
312,0,,6,,,6,,,0,5,2,St Johnstone,3,2011-11-18,0,,1,,,16,,,0,9,7,Rangers,2,,,
313,0,,7,,,9,,,0,9,5,Celtic,3,2011-11-18,0,,3,,,14,,,1,4,3,Inverness C,3,,,
314,1,,3,,,8,,,0,3,2,Motherwell,0,2011-11-18,1,,5,,,9,,,0,11,3,Aberdeen,0,,,
